protein	ionm	id	uid	mz	mzcorr	intensity	cls	headgroup1	rtmean	rtms2	rtmin	rtmax	headgroup	lyso	pref	carb	unsat	fa1p	fa1c	fa1u	fa2p	fa2c	fa2u	fa3p	fa3c	fa3u	fa4p	fa4c	fa4u	fullhgroup	mhgroup	uhgroup	phgroup	hgcc	cc	hgfa	ccfa	adduct	mz_theoretical	ppm	set0	set1	set2	screen	exp_date	domain	lit	lcb_pref	manual_id0	comment	manual_id1	manual_id2	invivo_585_681
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	Cer		DH	30.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	DHCer-PE	ambiguous	DHCer-PE	Cer	Cer-PE(DH30:1)	30:1	NA	NA	[M+NH4]+	622.4918503717307	-11.573850453571946	False	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	SM		DH	27.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	DHSM	ambiguous	DHSM	SM	SM(DH27:1)	27:1	NA	NA	[M+NH4]+	622.4918503717307	-11.573850453571946	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	SM		d	27.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	dSM	ambiguous	dSM	SM	SM(d27:1)	27:1	NA	NA	[M+NH4]+	622.4918495533308	-11.572535752876082	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	PE	Lyso		28.0	0.0		28.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Lyso-PE	ambiguous	Lyso-PE	PE	Lyso-PE(28:0)	28:0	Lyso-PE(28:0)	28:0	[M+H]+	622.48061699685	6.47208472991519	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	PC		O	25.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	ambiguous	PC-O	PC	PC(O-25:0)	25:0	NA	NA	[M+H]+	622.48061699685	6.47208472991519	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	Cer		DH	39.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	DHCer	ambiguous	DHCer	Cer	Cer(DH39:5)	39:5	NA	NA	[M+Na]+	622.5169657895308	-51.918336625323406	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ARHGAP8	pos	0	5	622.4929	622.484645744146	330000	IV	ambiguous	9.84	NaN	9.44	14.84	Cer		d	38.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	dCer-OH	ambiguous	dCer-OH	Cer	Cer(d38:6-OH)	38:6	NA	NA	[M+Na]+	622.4805802795908	6.531070500819019	True	True	False	A	2015-06-27	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d30:1); Sphingomyelin (d27:1); Sphingomyelin (DH27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t38:6); Ceramide (d38:6-OH); Ceramide (d39:5); Ceramide (DH39:5)		[M+H]+: Phosphatidylethanolamine (O-28:0); Lysophosphatidylethanolamine (28:0); Phosphatidylcholine (O-25:0); Lysophosphatidylcholine (O-26:0) /// [M+NH4]+: Ceramide phosphoethanolamine (d*30:1); Sphingomyelin (d*27:1); Phosphatidate (O-30:1); Diacylglycerol (35:3) /// [M+Na]+: Ceramide (t*38:6); Ceramide (d*39:5)		NaN
ATCAY	pos	0	8	760.5777	760.581884698506	400000	I	PC	10.71	10.658663	10.43	11.06	PC			34.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC	PC(34:1)	34:1	NA	NA	[M+H]+	760.58508206759	-4.203828288724683	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+H]+: Phosphatidylcholine (34:1)		[M+H]+: Phosphatidylcholine (34:1)		NaN
ATCAY	pos	1	9	732.5496	732.553630487899	260000	I	PC	9.38	9.3719594	7.65	10.42	PC			32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PC	PC	PC	PC	PC(32:1)	32:1	NA	NA	[M+H]+	732.5537819385501	-0.20674338839597042	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+H]+: Phosphatidylcholine (32:1)		[M+H]+: Phosphatidylcholine (32:1)		NaN
ATCAY	pos	2	10	928.8293	928.834410418809	86000	II	TAG	15.94	18.968465	15.72	16.38	TAG			56.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	TAG	TAG	TAG	TAG	TAG(56:4)	56:4	NA	NA	[M+NH4]+	928.8327755533307	1.760128971785143	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+NH4]+: Triacylglycerol (56:4)		[M+NH4]+: Triacylglycerol (56:4)		NaN
ATCAY	pos	3	11	788.6107	788.615038936071	38000	IV	ambiguous	12.11	5.4549844	11.81	12.43	PA			41.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PA	ambiguous	PA	PA	PA(41:2)	41:2	NA	NA	[M+NH4]+	788.6163821822107	-1.703294745205876	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+H]+: Phosphatidylcholine (36:1); Phosphatidylethanolamine (39:1) /// [M+NH4]+: Phosphatidate (41:2); Diacylglycerol (48:11)		[M+H]+: Phosphatidylcholine (36:1); Phosphatidylethanolamine (39:1) /// [M+NH4]+: Phosphatidate (41:2); Diacylglycerol (48:11)		NaN
ATCAY	pos	3	11	788.6107	788.615038936071	38000	IV	ambiguous	12.11	5.4549844	11.81	12.43	PE			39.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE	PE(39:1)	39:1	NA	NA	[M+H]+	788.6163821966301	-1.7033130295480996	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+H]+: Phosphatidylcholine (36:1); Phosphatidylethanolamine (39:1) /// [M+NH4]+: Phosphatidate (41:2); Diacylglycerol (48:11)		[M+H]+: Phosphatidylcholine (36:1); Phosphatidylethanolamine (39:1) /// [M+NH4]+: Phosphatidate (41:2); Diacylglycerol (48:11)		NaN
ATCAY	pos	3	11	788.6107	788.615038936071	38000	IV	ambiguous	12.11	5.4549844	11.81	12.43	PC			36.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC	PC(36:1)	36:1	NA	NA	[M+H]+	788.6163821966301	-1.7033130295480996	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+H]+: Phosphatidylcholine (36:1); Phosphatidylethanolamine (39:1) /// [M+NH4]+: Phosphatidate (41:2); Diacylglycerol (48:11)		[M+H]+: Phosphatidylcholine (36:1); Phosphatidylethanolamine (39:1) /// [M+NH4]+: Phosphatidate (41:2); Diacylglycerol (48:11)		NaN
ATCAY	pos	3	11	788.6107	788.615038936071	38000	IV	ambiguous	12.11	5.4549844	11.81	12.43	DAG			48.0	11.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	DAG	ambiguous	DAG	DAG	DAG(48:11)	48:11	NA	NA	[M+NH4]+	788.6187255533307	-4.674777735158291	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+H]+: Phosphatidylcholine (36:1); Phosphatidylethanolamine (39:1) /// [M+NH4]+: Phosphatidate (41:2); Diacylglycerol (48:11)		[M+H]+: Phosphatidylcholine (36:1); Phosphatidylethanolamine (39:1) /// [M+NH4]+: Phosphatidate (41:2); Diacylglycerol (48:11)		NaN
ATCAY	pos	4	12	716.5502	716.5541424592	11000	IV	ambiguous	10.0	4.6271095	9.58	10.55	PA		O	37.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	ambiguous	PA-O	PA	PA(O-37:3)	37:3	NA	NA	[M+NH4]+	716.5588495533308	-6.56902658275203	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-35:2); Phosphatidylcholine (O-32:2) /// [M+NH4]+: Phosphatidate (O-37:3)		[M+H]+: Phosphatidylethanolamine (O-35:2); Phosphatidylcholine (O-32:2) /// [M+NH4]+: Phosphatidate (O-37:3)		NaN
ATCAY	pos	4	12	716.5502	716.5541424592	11000	IV	ambiguous	10.0	4.6271095	9.58	10.55	PE		O	35.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE	PE(O-35:2)	35:2	NA	NA	[M+H]+	716.55885146677	-6.571696882064391	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-35:2); Phosphatidylcholine (O-32:2) /// [M+NH4]+: Phosphatidate (O-37:3)		[M+H]+: Phosphatidylethanolamine (O-35:2); Phosphatidylcholine (O-32:2) /// [M+NH4]+: Phosphatidate (O-37:3)		NaN
ATCAY	pos	4	12	716.5502	716.5541424592	11000	IV	ambiguous	10.0	4.6271095	9.58	10.55	PC		O	32.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	ambiguous	PC-O	PC	PC(O-32:2)	32:2	NA	NA	[M+H]+	716.55885146677	-6.571696882064391	True	True	False	A	2015-04-11	CRAL-TRIO	False	False	[M+H]+: Phosphatidylethanolamine (O-35:2); Phosphatidylcholine (O-32:2) /// [M+NH4]+: Phosphatidate (O-37:3)		[M+H]+: Phosphatidylethanolamine (O-35:2); Phosphatidylcholine (O-32:2) /// [M+NH4]+: Phosphatidate (O-37:3)		NaN
BNIP2	pos	0	15	992.7534	992.741182183906	13000000	III.2	unknown	6.9	6.8454614	6.6	7.21	PS			51.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PS	unknown	PS	PS	PS(51:5)	51:5	NA	NA	[M+H]+	992.7314119509899	9.841768678221275	True	True	False	A	2015-07-04	CRAL-TRIO	False	False	[M+H]+: Phosphatidylserine (51:5) /// [M+Na]+: Phosphatidylethanolamine (O-54:8)		[M+H]+: Phosphatidylserine (51:5) /// [M+Na]+: Phosphatidylethanolamine (O-54:8)		NaN
BNIP2	pos	0	15	992.7534	992.741182183906	13000000	III.2	unknown	6.9	6.8454614	6.6	7.21	PE		O	54.0	8.0		NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	unknown	PE-O	PE	PE(O-54:8)	54:8	NA	NA	[M+Na]+	992.7442623935308	-3.102722162719258	True	True	False	A	2015-07-04	CRAL-TRIO	False	False	[M+H]+: Phosphatidylserine (51:5) /// [M+Na]+: Phosphatidylethanolamine (O-54:8)		[M+H]+: Phosphatidylserine (51:5) /// [M+Na]+: Phosphatidylethanolamine (O-54:8)		NaN
